Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,8,113,3,29.0,34.0,0.9266666666666666,0.8253968253968254,
Main,Cat_S,56,17,70,7,63.0,73.0,0.84,0.8235294117647058,
Main,Cat_G,29,12,106,3,32.0,41.0,0.9,0.7945205479452054,
Main,Cat_N,41,5,81,23,64.0,46.0,0.8133333333333334,0.7454545454545455,
Sub,Resource_Use,19,4,123,4,23.0,23.0,0.9466666666666667,0.8260869565217391,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,11,12,125,2,13.0,23.0,0.9066666666666666,0.6111111111111112,
Sub,Workforce,25,14,107,4,29.0,39.0,0.88,0.7352941176470589,
Sub,Human_Rights,10,0,140,0,10.0,10.0,1.0,1.0,
Sub,Community,23,2,117,8,31.0,25.0,0.9333333333333333,0.8214285714285714,
Sub,Product_Responsibility,10,14,123,3,13.0,24.0,0.8866666666666667,0.5405405405405406,
Sub,Management,11,9,127,3,14.0,20.0,0.92,0.6470588235294118,
Sub,Shareholders,9,3,137,1,10.0,12.0,0.9733333333333334,0.8181818181818182,
Sub,CSR_Strategy,15,5,128,2,17.0,20.0,0.9533333333333334,0.8108108108108109,
,SUBCATEGORY_GLOBAL_METRICS,144,65,1260,31,,,,,Hamming Loss: 0.0640 | Macro F1: 0.7596 | Accuracy: 0.9360
