Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,10,111,4,29.0,35.0,0.9066666666666666,0.78125,
Main,Cat_S,51,18,69,12,63.0,69.0,0.8,0.7727272727272727,
Main,Cat_G,28,13,105,4,32.0,41.0,0.8866666666666667,0.7671232876712328,
Main,Cat_N,38,7,79,26,64.0,45.0,0.78,0.6972477064220184,
Sub,Resource_Use,19,4,123,4,23.0,23.0,0.9466666666666667,0.8260869565217391,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,12,11,126,1,13.0,23.0,0.92,0.6666666666666666,
Sub,Workforce,21,13,108,8,29.0,34.0,0.86,0.6666666666666666,
Sub,Human_Rights,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,Community,21,1,118,10,31.0,22.0,0.9266666666666666,0.7924528301886793,
Sub,Product_Responsibility,9,10,127,4,13.0,19.0,0.9066666666666666,0.5625,
Sub,Management,12,8,128,2,14.0,20.0,0.9333333333333333,0.7058823529411765,
Sub,Shareholders,6,3,137,4,10.0,9.0,0.9533333333333334,0.631578947368421,
Sub,CSR_Strategy,14,8,125,3,17.0,22.0,0.9266666666666666,0.717948717948718,
,SUBCATEGORY_GLOBAL_METRICS,133,60,1265,42,,,,,Hamming Loss: 0.0680 | Macro F1: 0.7205 | Accuracy: 0.9320
