Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,4,117,3,29.0,30.0,0.9533333333333334,0.8813559322033898,
Main,Cat_S,49,10,77,14,63.0,59.0,0.84,0.8032786885245902,
Main,Cat_G,27,18,100,5,32.0,45.0,0.8466666666666667,0.7012987012987013,
Main,Cat_N,49,11,75,15,64.0,60.0,0.8266666666666667,0.7903225806451613,
Sub,Resource_Use,18,2,125,5,23.0,20.0,0.9533333333333334,0.8372093023255814,
Sub,Emissions,10,1,134,5,15.0,11.0,0.96,0.7692307692307693,
Sub,Innovation,11,8,129,2,13.0,19.0,0.9333333333333333,0.6875,
Sub,Workforce,17,7,114,12,29.0,24.0,0.8733333333333333,0.6415094339622641,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,10,7,130,3,13.0,17.0,0.9333333333333333,0.6666666666666666,
Sub,Management,11,8,128,3,14.0,19.0,0.9266666666666666,0.6666666666666666,
Sub,Shareholders,4,2,138,6,10.0,6.0,0.9466666666666667,0.5,
Sub,CSR_Strategy,14,14,119,3,17.0,28.0,0.8866666666666667,0.6222222222222222,
,SUBCATEGORY_GLOBAL_METRICS,122,50,1275,53,,,,,Hamming Loss: 0.0687 | Macro F1: 0.6984 | Accuracy: 0.9313
