Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,23,5,116,6,29.0,28.0,0.9266666666666666,0.8070175438596491,
Main,Cat_S,49,10,77,14,63.0,59.0,0.84,0.8032786885245902,
Main,Cat_G,30,27,91,2,32.0,57.0,0.8066666666666666,0.6741573033707865,
Main,Cat_N,49,8,78,15,64.0,57.0,0.8466666666666667,0.8099173553719008,
Sub,Resource_Use,17,2,125,6,23.0,19.0,0.9466666666666667,0.8095238095238095,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,11,7,130,2,13.0,18.0,0.94,0.7096774193548387,
Sub,Workforce,18,6,115,11,29.0,24.0,0.8866666666666667,0.6792452830188679,
Sub,Human_Rights,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,Community,20,0,119,11,31.0,20.0,0.9266666666666666,0.7843137254901961,
Sub,Product_Responsibility,9,7,130,4,13.0,16.0,0.9266666666666666,0.6206896551724138,
Sub,Management,12,6,130,2,14.0,18.0,0.9466666666666667,0.75,
Sub,Shareholders,5,1,139,5,10.0,6.0,0.96,0.625,
Sub,CSR_Strategy,17,25,108,0,17.0,42.0,0.8333333333333334,0.576271186440678,
,SUBCATEGORY_GLOBAL_METRICS,127,56,1269,48,,,,,Hamming Loss: 0.0693 | Macro F1: 0.7147 | Accuracy: 0.9307
