Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,6,115,3,29.0,32.0,0.94,0.8524590163934426,
Main,Cat_S,45,6,81,18,63.0,51.0,0.84,0.7894736842105263,
Main,Cat_G,22,4,114,10,32.0,26.0,0.9066666666666666,0.7586206896551724,
Main,Cat_N,47,8,78,17,64.0,55.0,0.8333333333333334,0.7899159663865546,
Sub,Resource_Use,16,0,127,7,23.0,16.0,0.9533333333333334,0.8205128205128205,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,12,12,125,1,13.0,24.0,0.9133333333333333,0.6486486486486487,
Sub,Workforce,19,9,112,10,29.0,28.0,0.8733333333333333,0.6666666666666666,
Sub,Human_Rights,8,0,140,2,10.0,8.0,0.9866666666666667,0.8888888888888888,
Sub,Community,21,0,119,10,31.0,21.0,0.9333333333333333,0.8076923076923077,
Sub,Product_Responsibility,8,4,133,5,13.0,12.0,0.94,0.64,
Sub,Management,11,2,134,3,14.0,13.0,0.9666666666666667,0.8148148148148148,
Sub,Shareholders,4,1,139,6,10.0,5.0,0.9533333333333334,0.5333333333333333,
Sub,CSR_Strategy,14,11,122,3,17.0,25.0,0.9066666666666666,0.6666666666666666,
,SUBCATEGORY_GLOBAL_METRICS,124,40,1285,51,,,,,Hamming Loss: 0.0607 | Macro F1: 0.7302 | Accuracy: 0.9393
