Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,6,115,4,29.0,31.0,0.9333333333333333,0.8333333333333334,
Main,Cat_S,54,16,71,9,63.0,70.0,0.8333333333333334,0.8120300751879699,
Main,Cat_G,29,17,101,3,32.0,46.0,0.8666666666666667,0.7435897435897436,
Main,Cat_N,41,4,82,23,64.0,45.0,0.82,0.7522935779816514,
Sub,Resource_Use,16,1,126,7,23.0,17.0,0.9466666666666667,0.8,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,12,10,127,1,13.0,22.0,0.9266666666666666,0.6857142857142857,
Sub,Workforce,23,12,109,6,29.0,35.0,0.88,0.71875,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,21,2,117,10,31.0,23.0,0.92,0.7777777777777778,
Sub,Product_Responsibility,9,9,128,4,13.0,18.0,0.9133333333333333,0.5806451612903226,
Sub,Management,12,8,128,2,14.0,20.0,0.9333333333333333,0.7058823529411765,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,15,13,120,2,17.0,28.0,0.9,0.6666666666666666,
,SUBCATEGORY_GLOBAL_METRICS,135,58,1267,40,,,,,Hamming Loss: 0.0653 | Macro F1: 0.7416 | Accuracy: 0.9347
