Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,28,8,113,1,29.0,36.0,0.94,0.8615384615384616,
Main,Cat_S,45,6,81,18,63.0,51.0,0.84,0.7894736842105263,
Main,Cat_G,24,1,117,8,32.0,25.0,0.94,0.8421052631578947,
Main,Cat_N,58,11,75,6,64.0,69.0,0.8866666666666667,0.8721804511278195,
Sub,Resource_Use,14,1,126,9,23.0,15.0,0.9333333333333333,0.7368421052631579,
Sub,Emissions,12,2,133,3,15.0,14.0,0.9666666666666667,0.8275862068965517,
Sub,Innovation,12,9,128,1,13.0,21.0,0.9333333333333333,0.7058823529411765,
Sub,Workforce,21,11,110,8,29.0,32.0,0.8733333333333333,0.6885245901639344,
Sub,Human_Rights,8,0,140,2,10.0,8.0,0.9866666666666667,0.8888888888888888,
Sub,Community,21,2,117,10,31.0,23.0,0.92,0.7777777777777778,
Sub,Product_Responsibility,6,4,133,7,13.0,10.0,0.9266666666666666,0.5217391304347826,
Sub,Management,11,0,136,3,14.0,11.0,0.98,0.88,
Sub,Shareholders,6,1,139,4,10.0,7.0,0.9666666666666667,0.7058823529411765,
Sub,CSR_Strategy,12,3,130,5,17.0,15.0,0.9466666666666667,0.75,
,SUBCATEGORY_GLOBAL_METRICS,123,33,1292,52,,,,,Hamming Loss: 0.0567 | Macro F1: 0.7483 | Accuracy: 0.9433
