Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,5,116,3,29.0,31.0,0.9466666666666667,0.8666666666666667,
Main,Cat_S,52,11,76,11,63.0,63.0,0.8533333333333334,0.8253968253968254,
Main,Cat_G,27,15,103,5,32.0,42.0,0.8666666666666667,0.7297297297297297,
Main,Cat_N,48,10,76,16,64.0,58.0,0.8266666666666667,0.7868852459016393,
Sub,Resource_Use,17,2,125,6,23.0,19.0,0.9466666666666667,0.8095238095238095,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,11,9,128,2,13.0,20.0,0.9266666666666666,0.6666666666666666,
Sub,Workforce,23,9,112,6,29.0,32.0,0.9,0.7540983606557377,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,8,9,128,5,13.0,17.0,0.9066666666666666,0.5333333333333333,
Sub,Management,10,10,126,4,14.0,20.0,0.9066666666666666,0.5882352941176471,
Sub,Shareholders,5,2,138,5,10.0,7.0,0.9533333333333334,0.5882352941176471,
Sub,CSR_Strategy,15,9,124,2,17.0,24.0,0.9266666666666666,0.7317073170731707,
,SUBCATEGORY_GLOBAL_METRICS,128,52,1273,47,,,,,Hamming Loss: 0.0660 | Macro F1: 0.7122 | Accuracy: 0.9340
