Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,8,113,2,29.0,35.0,0.9333333333333333,0.84375,
Main,Cat_S,45,7,80,18,63.0,52.0,0.8333333333333334,0.782608695652174,
Main,Cat_G,27,3,115,5,32.0,30.0,0.9466666666666667,0.8709677419354839,
Main,Cat_N,56,10,76,8,64.0,66.0,0.88,0.8615384615384616,
Sub,Resource_Use,17,3,124,6,23.0,20.0,0.94,0.7906976744186046,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,11,10,127,2,13.0,21.0,0.92,0.6470588235294118,
Sub,Workforce,23,15,106,6,29.0,38.0,0.86,0.6865671641791045,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,22,2,117,9,31.0,24.0,0.9266666666666666,0.8,
Sub,Product_Responsibility,5,3,134,8,13.0,8.0,0.9266666666666666,0.47619047619047616,
Sub,Management,12,4,132,2,14.0,16.0,0.96,0.8,
Sub,Shareholders,6,1,139,4,10.0,7.0,0.9666666666666667,0.7058823529411765,
Sub,CSR_Strategy,13,6,127,4,17.0,19.0,0.9333333333333333,0.7222222222222222,
,SUBCATEGORY_GLOBAL_METRICS,127,46,1279,48,,,,,Hamming Loss: 0.0627 | Macro F1: 0.7238 | Accuracy: 0.9373
