Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,7,114,3,29.0,33.0,0.9333333333333333,0.8387096774193549,
Main,Cat_S,54,11,76,9,63.0,65.0,0.8666666666666667,0.84375,
Main,Cat_G,30,6,112,2,32.0,36.0,0.9466666666666667,0.8823529411764706,
Main,Cat_N,50,6,80,14,64.0,56.0,0.8666666666666667,0.8333333333333334,
Sub,Resource_Use,19,4,123,4,23.0,23.0,0.9466666666666667,0.8260869565217391,
Sub,Emissions,11,0,135,4,15.0,11.0,0.9733333333333334,0.8461538461538461,
Sub,Innovation,12,8,129,1,13.0,20.0,0.94,0.7272727272727273,
Sub,Workforce,22,11,110,7,29.0,33.0,0.88,0.7096774193548387,
Sub,Human_Rights,8,1,139,2,10.0,9.0,0.98,0.8421052631578947,
Sub,Community,21,0,119,10,31.0,21.0,0.9333333333333333,0.8076923076923077,
Sub,Product_Responsibility,11,10,127,2,13.0,21.0,0.92,0.6470588235294118,
Sub,Management,12,4,132,2,14.0,16.0,0.96,0.8,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,16,5,128,1,17.0,21.0,0.96,0.8421052631578947,
,SUBCATEGORY_GLOBAL_METRICS,140,45,1280,35,,,,,Hamming Loss: 0.0533 | Macro F1: 0.7848 | Accuracy: 0.9467
