Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,7,114,3,29.0,33.0,0.9333333333333333,0.8387096774193549,
Main,Cat_S,47,6,81,16,63.0,53.0,0.8533333333333334,0.8103448275862069,
Main,Cat_G,22,2,116,10,32.0,24.0,0.92,0.7857142857142857,
Main,Cat_N,57,11,75,7,64.0,68.0,0.88,0.8636363636363636,
Sub,Resource_Use,15,2,125,8,23.0,17.0,0.9333333333333333,0.75,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,11,8,129,2,13.0,19.0,0.9333333333333333,0.6875,
Sub,Workforce,23,9,112,6,29.0,32.0,0.9,0.7540983606557377,
Sub,Human_Rights,8,1,139,2,10.0,9.0,0.98,0.8421052631578947,
Sub,Community,22,1,118,9,31.0,23.0,0.9333333333333333,0.8148148148148148,
Sub,Product_Responsibility,5,6,131,8,13.0,11.0,0.9066666666666666,0.4166666666666667,
Sub,Management,11,1,135,3,14.0,12.0,0.9733333333333334,0.8461538461538461,
Sub,Shareholders,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,CSR_Strategy,12,2,131,5,17.0,14.0,0.9533333333333334,0.7741935483870968,
,SUBCATEGORY_GLOBAL_METRICS,126,32,1293,49,,,,,Hamming Loss: 0.0540 | Macro F1: 0.7520 | Accuracy: 0.9460
