Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,4,117,4,29.0,29.0,0.9466666666666667,0.8620689655172413,
Main,Cat_S,48,14,73,15,63.0,62.0,0.8066666666666666,0.768,
Main,Cat_G,30,30,88,2,32.0,60.0,0.7866666666666666,0.6521739130434783,
Main,Cat_N,44,8,78,20,64.0,52.0,0.8133333333333334,0.7586206896551724,
Sub,Resource_Use,19,3,124,4,23.0,22.0,0.9533333333333334,0.8444444444444444,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,12,6,131,1,13.0,18.0,0.9533333333333334,0.7741935483870968,
Sub,Workforce,16,9,112,13,29.0,25.0,0.8533333333333334,0.5925925925925926,
Sub,Human_Rights,10,2,138,0,10.0,12.0,0.9866666666666667,0.9090909090909091,
Sub,Community,20,0,119,11,31.0,20.0,0.9266666666666666,0.7843137254901961,
Sub,Product_Responsibility,9,10,127,4,13.0,19.0,0.9066666666666666,0.5625,
Sub,Management,12,8,128,2,14.0,20.0,0.9333333333333333,0.7058823529411765,
Sub,Shareholders,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,CSR_Strategy,16,27,106,1,17.0,43.0,0.8133333333333334,0.5333333333333333,
,SUBCATEGORY_GLOBAL_METRICS,132,67,1258,43,,,,,Hamming Loss: 0.0733 | Macro F1: 0.7299 | Accuracy: 0.9267
