Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,5,116,2,29.0,32.0,0.9533333333333334,0.8852459016393442,
Main,Cat_S,46,7,80,17,63.0,53.0,0.84,0.7931034482758621,
Main,Cat_G,25,5,113,7,32.0,30.0,0.92,0.8064516129032258,
Main,Cat_N,56,12,74,8,64.0,68.0,0.8666666666666667,0.8484848484848485,
Sub,Resource_Use,18,3,124,5,23.0,21.0,0.9466666666666667,0.8181818181818182,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,11,9,128,2,13.0,20.0,0.9266666666666666,0.6666666666666666,
Sub,Workforce,23,10,111,6,29.0,33.0,0.8933333333333333,0.7419354838709677,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,19,3,116,12,31.0,22.0,0.9,0.7169811320754716,
Sub,Product_Responsibility,4,3,134,9,13.0,7.0,0.92,0.4,
Sub,Management,12,2,134,2,14.0,14.0,0.9733333333333334,0.8571428571428571,
Sub,Shareholders,3,1,139,7,10.0,4.0,0.9466666666666667,0.42857142857142855,
Sub,CSR_Strategy,12,6,127,5,17.0,18.0,0.9266666666666666,0.6857142857142857,
,SUBCATEGORY_GLOBAL_METRICS,120,39,1286,55,,,,,Hamming Loss: 0.0627 | Macro F1: 0.6924 | Accuracy: 0.9373
