Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,5,116,2,29.0,32.0,0.9533333333333334,0.8852459016393442,
Main,Cat_S,44,7,80,19,63.0,51.0,0.8266666666666667,0.7719298245614035,
Main,Cat_G,20,5,113,12,32.0,25.0,0.8866666666666667,0.7017543859649122,
Main,Cat_N,44,14,72,20,64.0,58.0,0.7733333333333333,0.7213114754098361,
Sub,Resource_Use,16,2,125,7,23.0,18.0,0.94,0.7804878048780488,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,12,13,124,1,13.0,25.0,0.9066666666666666,0.631578947368421,
Sub,Workforce,17,9,112,12,29.0,26.0,0.86,0.6181818181818182,
Sub,Human_Rights,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,Community,19,0,119,12,31.0,19.0,0.92,0.76,
Sub,Product_Responsibility,6,7,130,7,13.0,13.0,0.9066666666666666,0.46153846153846156,
Sub,Management,10,2,134,4,14.0,12.0,0.96,0.7692307692307693,
Sub,Shareholders,4,1,139,6,10.0,5.0,0.9533333333333334,0.5333333333333333,
Sub,CSR_Strategy,9,8,125,8,17.0,17.0,0.8933333333333333,0.5294117647058824,
,SUBCATEGORY_GLOBAL_METRICS,112,44,1281,63,,,,,Hamming Loss: 0.0713 | Macro F1: 0.6719 | Accuracy: 0.9287
