Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,9,112,3,29.0,35.0,0.92,0.8125,
Main,Cat_S,54,11,76,9,63.0,65.0,0.8666666666666667,0.84375,
Main,Cat_G,30,6,112,2,32.0,36.0,0.9466666666666667,0.8823529411764706,
Main,Cat_N,51,7,79,13,64.0,58.0,0.8666666666666667,0.8360655737704918,
Sub,Resource_Use,20,5,122,3,23.0,25.0,0.9466666666666667,0.8333333333333334,
Sub,Emissions,13,2,133,2,15.0,15.0,0.9733333333333334,0.8666666666666667,
Sub,Innovation,12,11,126,1,13.0,23.0,0.92,0.6666666666666666,
Sub,Workforce,22,13,108,7,29.0,35.0,0.8666666666666667,0.6875,
Sub,Human_Rights,10,5,135,0,10.0,15.0,0.9666666666666667,0.8,
Sub,Community,21,1,118,10,31.0,22.0,0.9266666666666666,0.7924528301886793,
Sub,Product_Responsibility,11,12,125,2,13.0,23.0,0.9066666666666666,0.6111111111111112,
Sub,Management,12,3,133,2,14.0,15.0,0.9666666666666667,0.8275862068965517,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,16,6,127,1,17.0,22.0,0.9533333333333334,0.8205128205128205,
,SUBCATEGORY_GLOBAL_METRICS,145,60,1265,30,,,,,Hamming Loss: 0.0600 | Macro F1: 0.7706 | Accuracy: 0.9400
