Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,11,110,2,29.0,38.0,0.9133333333333333,0.8059701492537313,
Main,Cat_S,55,19,68,8,63.0,74.0,0.82,0.8029197080291971,
Main,Cat_G,28,22,96,4,32.0,50.0,0.8266666666666667,0.6829268292682927,
Main,Cat_N,33,5,81,31,64.0,38.0,0.76,0.6470588235294118,
Sub,Resource_Use,19,3,124,4,23.0,22.0,0.9533333333333334,0.8444444444444444,
Sub,Emissions,12,1,134,3,15.0,13.0,0.9733333333333334,0.8571428571428571,
Sub,Innovation,12,15,122,1,13.0,27.0,0.8933333333333333,0.6,
Sub,Workforce,22,10,111,7,29.0,32.0,0.8866666666666667,0.7213114754098361,
Sub,Human_Rights,9,0,140,1,10.0,9.0,0.9933333333333333,0.9473684210526315,
Sub,Community,22,2,117,9,31.0,24.0,0.9266666666666666,0.8,
Sub,Product_Responsibility,8,13,124,5,13.0,21.0,0.88,0.47058823529411764,
Sub,Management,12,13,123,2,14.0,25.0,0.9,0.6153846153846154,
Sub,Shareholders,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,CSR_Strategy,14,17,116,3,17.0,31.0,0.8666666666666667,0.5833333333333334,
,SUBCATEGORY_GLOBAL_METRICS,138,76,1249,37,,,,,Hamming Loss: 0.0753 | Macro F1: 0.7240 | Accuracy: 0.9247
