Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,11,110,3,29.0,37.0,0.9066666666666666,0.7878787878787878,
Main,Cat_S,55,16,71,8,63.0,71.0,0.84,0.8208955223880597,
Main,Cat_G,29,6,112,3,32.0,35.0,0.94,0.8656716417910447,
Main,Cat_N,44,6,80,20,64.0,50.0,0.8266666666666667,0.7719298245614035,
Sub,Resource_Use,20,4,123,3,23.0,24.0,0.9533333333333334,0.851063829787234,
Sub,Emissions,11,3,132,4,15.0,14.0,0.9533333333333334,0.7586206896551724,
Sub,Innovation,12,13,124,1,13.0,25.0,0.9066666666666666,0.631578947368421,
Sub,Workforce,22,12,109,7,29.0,34.0,0.8733333333333333,0.6984126984126984,
Sub,Human_Rights,10,3,137,0,10.0,13.0,0.98,0.8695652173913043,
Sub,Community,22,0,119,9,31.0,22.0,0.94,0.8301886792452831,
Sub,Product_Responsibility,11,14,123,2,13.0,25.0,0.8933333333333333,0.5789473684210527,
Sub,Management,12,4,132,2,14.0,16.0,0.96,0.8,
Sub,Shareholders,7,2,138,3,10.0,9.0,0.9666666666666667,0.7368421052631579,
Sub,CSR_Strategy,15,5,128,2,17.0,20.0,0.9533333333333334,0.8108108108108109,
,SUBCATEGORY_GLOBAL_METRICS,142,60,1265,33,,,,,Hamming Loss: 0.0620 | Macro F1: 0.7566 | Accuracy: 0.9380
