Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,28,8,113,1,29.0,36.0,0.94,0.8615384615384616,
Main,Cat_S,45,7,80,18,63.0,52.0,0.8333333333333334,0.782608695652174,
Main,Cat_G,23,3,115,9,32.0,26.0,0.92,0.7931034482758621,
Main,Cat_N,56,11,75,8,64.0,67.0,0.8733333333333333,0.8549618320610687,
Sub,Resource_Use,18,3,124,5,23.0,21.0,0.9466666666666667,0.8181818181818182,
Sub,Emissions,12,2,133,3,15.0,14.0,0.9666666666666667,0.8275862068965517,
Sub,Innovation,11,11,126,2,13.0,22.0,0.9133333333333333,0.6285714285714286,
Sub,Workforce,23,12,109,6,29.0,35.0,0.88,0.71875,
Sub,Human_Rights,7,0,140,3,10.0,7.0,0.98,0.8235294117647058,
Sub,Community,19,3,116,12,31.0,22.0,0.9,0.7169811320754716,
Sub,Product_Responsibility,4,3,134,9,13.0,7.0,0.92,0.4,
Sub,Management,12,2,134,2,14.0,14.0,0.9733333333333334,0.8571428571428571,
Sub,Shareholders,3,1,139,7,10.0,4.0,0.9466666666666667,0.42857142857142855,
Sub,CSR_Strategy,12,6,127,5,17.0,18.0,0.9266666666666666,0.6857142857142857,
,SUBCATEGORY_GLOBAL_METRICS,121,43,1282,54,,,,,Hamming Loss: 0.0647 | Macro F1: 0.6905 | Accuracy: 0.9353
