Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,25,4,117,4,29.0,29.0,0.9466666666666667,0.8620689655172413,
Main,Cat_S,48,7,80,15,63.0,55.0,0.8533333333333334,0.8135593220338984,
Main,Cat_G,25,3,115,7,32.0,28.0,0.9333333333333333,0.8333333333333334,
Main,Cat_N,55,10,76,9,64.0,65.0,0.8733333333333333,0.8527131782945736,
Sub,Resource_Use,16,1,126,7,23.0,17.0,0.9466666666666667,0.8,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,11,6,131,2,13.0,17.0,0.9466666666666667,0.7333333333333333,
Sub,Workforce,22,8,113,7,29.0,30.0,0.9,0.7457627118644068,
Sub,Human_Rights,6,0,140,4,10.0,6.0,0.9733333333333334,0.75,
Sub,Community,22,0,119,9,31.0,22.0,0.94,0.8301886792452831,
Sub,Product_Responsibility,5,5,132,8,13.0,10.0,0.9133333333333333,0.43478260869565216,
Sub,Management,11,2,134,3,14.0,13.0,0.9666666666666667,0.8148148148148148,
Sub,Shareholders,7,1,139,3,10.0,8.0,0.9733333333333334,0.7777777777777778,
Sub,CSR_Strategy,12,2,131,5,17.0,14.0,0.9533333333333334,0.7741935483870968,
,SUBCATEGORY_GLOBAL_METRICS,123,27,1298,52,,,,,Hamming Loss: 0.0527 | Macro F1: 0.7447 | Accuracy: 0.9473
