Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,6,115,3,29.0,32.0,0.94,0.8524590163934426,
Main,Cat_S,51,9,78,12,63.0,60.0,0.86,0.8292682926829268,
Main,Cat_G,31,11,107,1,32.0,42.0,0.92,0.8378378378378378,
Main,Cat_N,52,6,80,12,64.0,58.0,0.88,0.8524590163934426,
Sub,Resource_Use,20,3,124,3,23.0,23.0,0.96,0.8695652173913043,
Sub,Emissions,12,2,133,3,15.0,14.0,0.9666666666666667,0.8275862068965517,
Sub,Innovation,11,10,127,2,13.0,21.0,0.92,0.6470588235294118,
Sub,Workforce,25,13,108,4,29.0,38.0,0.8866666666666667,0.746268656716418,
Sub,Human_Rights,8,2,138,2,10.0,10.0,0.9733333333333334,0.8,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,8,4,133,5,13.0,12.0,0.94,0.64,
Sub,Management,12,4,132,2,14.0,16.0,0.96,0.8,
Sub,Shareholders,7,2,138,3,10.0,9.0,0.9666666666666667,0.7368421052631579,
Sub,CSR_Strategy,17,11,122,0,17.0,28.0,0.9266666666666666,0.7555555555555555,
,SUBCATEGORY_GLOBAL_METRICS,140,52,1273,35,,,,,Hamming Loss: 0.0580 | Macro F1: 0.7592 | Accuracy: 0.9420
