Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,6,115,3,29.0,32.0,0.94,0.8524590163934426,
Main,Cat_S,48,10,77,15,63.0,58.0,0.8333333333333334,0.7933884297520661,
Main,Cat_G,28,11,107,4,32.0,39.0,0.9,0.7887323943661971,
Main,Cat_N,49,8,78,15,64.0,57.0,0.8466666666666667,0.8099173553719008,
Sub,Resource_Use,17,3,124,6,23.0,20.0,0.94,0.7906976744186046,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,12,10,127,1,13.0,22.0,0.9266666666666666,0.6857142857142857,
Sub,Workforce,23,16,105,6,29.0,39.0,0.8533333333333334,0.6764705882352942,
Sub,Human_Rights,9,0,140,1,10.0,9.0,0.9933333333333333,0.9473684210526315,
Sub,Community,21,1,118,10,31.0,22.0,0.9266666666666666,0.7924528301886793,
Sub,Product_Responsibility,5,2,135,8,13.0,7.0,0.9333333333333333,0.5,
Sub,Management,12,7,129,2,14.0,19.0,0.94,0.7272727272727273,
Sub,Shareholders,4,1,139,6,10.0,5.0,0.9533333333333334,0.5333333333333333,
Sub,CSR_Strategy,15,6,127,2,17.0,21.0,0.9466666666666667,0.7894736842105263,
,SUBCATEGORY_GLOBAL_METRICS,129,48,1277,46,,,,,Hamming Loss: 0.0627 | Macro F1: 0.7228 | Accuracy: 0.9373
