Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,26,5,116,3,29.0,31.0,0.9466666666666667,0.8666666666666667,
Main,Cat_S,52,8,79,11,63.0,60.0,0.8733333333333333,0.8455284552845529,
Main,Cat_G,28,18,100,4,32.0,46.0,0.8533333333333334,0.717948717948718,
Main,Cat_N,51,8,78,13,64.0,59.0,0.86,0.8292682926829268,
Sub,Resource_Use,18,2,125,5,23.0,20.0,0.9533333333333334,0.8372093023255814,
Sub,Emissions,11,1,134,4,15.0,12.0,0.9666666666666667,0.8148148148148148,
Sub,Innovation,12,9,128,1,13.0,21.0,0.9333333333333333,0.7058823529411765,
Sub,Workforce,20,8,113,9,29.0,28.0,0.8866666666666667,0.7017543859649122,
Sub,Human_Rights,5,0,140,5,10.0,5.0,0.9666666666666667,0.6666666666666666,
Sub,Community,19,0,119,12,31.0,19.0,0.92,0.76,
Sub,Product_Responsibility,10,8,129,3,13.0,18.0,0.9266666666666666,0.6451612903225806,
Sub,Management,11,8,128,3,14.0,19.0,0.9266666666666666,0.6666666666666666,
Sub,Shareholders,5,1,139,5,10.0,6.0,0.96,0.625,
Sub,CSR_Strategy,15,12,121,2,17.0,27.0,0.9066666666666666,0.6818181818181818,
,SUBCATEGORY_GLOBAL_METRICS,126,49,1276,49,,,,,Hamming Loss: 0.0653 | Macro F1: 0.7105 | Accuracy: 0.9347
