Type,Category,TP,FP,TN,FN,Ground_Truth_Yes,LLM_Classifier_Yes,Accuracy,F1_Score,Note
Main,Cat_E,27,8,113,2,29.0,35.0,0.9333333333333333,0.84375,
Main,Cat_S,45,6,81,18,63.0,51.0,0.84,0.7894736842105263,
Main,Cat_G,22,1,117,10,32.0,23.0,0.9266666666666666,0.8,
Main,Cat_N,58,10,76,6,64.0,68.0,0.8933333333333333,0.8787878787878788,
Sub,Resource_Use,17,1,126,6,23.0,18.0,0.9533333333333334,0.8292682926829268,
Sub,Emissions,11,2,133,4,15.0,13.0,0.96,0.7857142857142857,
Sub,Innovation,12,8,129,1,13.0,20.0,0.94,0.7272727272727273,
Sub,Workforce,22,13,108,7,29.0,35.0,0.8666666666666667,0.6875,
Sub,Human_Rights,8,0,140,2,10.0,8.0,0.9866666666666667,0.8888888888888888,
Sub,Community,20,1,118,11,31.0,21.0,0.92,0.7692307692307693,
Sub,Product_Responsibility,6,2,135,7,13.0,8.0,0.94,0.5714285714285714,
Sub,Management,11,1,135,3,14.0,12.0,0.9733333333333334,0.8461538461538461,
Sub,Shareholders,5,1,139,5,10.0,6.0,0.96,0.625,
Sub,CSR_Strategy,11,4,129,6,17.0,15.0,0.9333333333333333,0.6875,
,SUBCATEGORY_GLOBAL_METRICS,123,33,1292,52,,,,,Hamming Loss: 0.0567 | Macro F1: 0.7418 | Accuracy: 0.9433
