Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,No,Yes,No,"The post only mentions that a new Chief Supply Chain Officer has joined the company, without any reference to reducing materials, energy, water use, or improving eco-efficiency in the supply chain.",No,"There is no mention of environmental emissions, carbon footprint, or any emission reduction initiatives.",No,"The text does not discuss new environmental technologies, eco-designed products, or reducing environmental costs for customers.",No,"Although this is an executive hiring announcement, it does not mention employee well-being, workplace safety, diversity, compensation, or development opportunities.",No,"The post does not address labor rights, human rights policies, or adherence to human rights conventions.",No,"There is no reference to community engagement, public health, philanthropy, or business ethics initiatives.",No,"The announcement does not discuss product quality, customer health and safety, or data privacy in relation to Fossil Group’s products or services.",No,"While it mentions an executive role (Chief Supply Chain Officer), it only highlights his expertise and strategic aims, with no discussion of corporate governance structures, policies, codes of conduct, or governance practices.",No,"The post does not mention shareholder rights, treatment of shareholders, or anti-takeover measures.",No,"There is no indication that CSR or ESG considerations are integrated into company strategy or reporting; it is purely an appointment announcement without reference to environmental, social, or governance responsibility themes."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"Although a Supply Chain expert is mentioned, the post does not explicitly address reducing material, energy, or water use, nor eco-efficient supply chain practices.",No,"There is no reference to environmental emissions, carbon footprint, or efforts to reduce emissions in operations or production.",No,"Innovation is mentioned generally as part of the corporate vision, but there is no explicit link to environmental technologies, eco-design, or reducing environmental burdens for customers.",Yes,"The post describes recruitment activities, tangible career opportunities, and engineering roles at Hermès, indicating workforce development and employment opportunities, which falls under workforce aspects.",No,"The content does not mention human rights conventions, labor rights issues, or related policies.",No,"There is no clear reference to community engagement, philanthropy, public health, or business ethics beyond standard recruiting and employer branding.",No,"While production and quality control are briefly mentioned, the post does not explicitly discuss product safety, quality standards, or customer data privacy.",No,"The post does not discuss corporate governance structures, board practices, or governance policies.",No,"There is no mention of shareholders, investor treatment, or anti-takeover mechanisms.",No,"The post is focused on recruitment and engineering careers; it does not explicitly communicate integration of financial, social, and environmental dimensions into corporate strategy or CSR reporting."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post explicitly mentions turning fabric waste into new products such as tote bags and tablecloths, which directly concerns material efficiency, waste reduction, and sustainable use of resources.",No,"There is no reference to greenhouse gas emissions, pollution, carbon footprint, or emission-reduction measures in operations or production.",Yes,"The initiative involves reusing fabric waste to create new products, which constitutes an environmentally oriented process/product approach aimed at reducing environmental burdens, fitting the Innovation category even if it is not high-tech.",No,"The text refers to local women from low-income families supported by the program, not the company’s internal employees; it does not mention workplace conditions, safety, compensation, or internal diversity/training.",No,"While the project supports low-income women and empowerment, the post does not explicitly mention human rights policies, conventions, or efforts to avoid child/forced labor or similar rights-based issues.",Yes,"The post describes a community-focused initiative (Coats Cares) in partnership with an NGO to support local low-income women through skills training and income generation, clearly reflecting corporate community engagement and social impact.",No,"Although new products are mentioned, there is no discussion of consumer safety, product quality standards, or customer data privacy.",No,"There is no mention of governance structures, leadership decisions, executive oversight, or board practices.",No,"The post does not reference shareholders, investor relations, or shareholder rights.",Yes,"The named ‘Coats Cares’ initiative and hashtags like #EmpoweringCommunities and #SustainableImpact indicate a formal CSR program and communication that combines social (community empowerment, income creation) and environmental (fabric waste reuse) dimensions."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions a general focus on sustainability but provides no explicit details about materials, energy, water use, or resource-efficient supply chain practices.",Yes,"The post explicitly references a commitment to the Science Based Targets initiative (SBTi), which is centered on setting and achieving science-based greenhouse gas emissions reduction targets.",No,"Although the LOOP programme is named, there is no description linking it to environmental technologies, eco-designed products, or innovations aimed at reducing environmental burdens.",No,"The content does not address employees, workplace conditions, safety, diversity, compensation, or training.",No,"There is no explicit mention of human rights policies, conventions, or supplier labor standards.",No,"The post does not discuss community engagement, philanthropy, public health, or local social impact initiatives.",No,"There is no reference to product quality, customer safety, product integrity, or data privacy.",No,"While the CEO is mentioned as presenting results, the post does not discuss governance structures, leadership practices, or management policies.",No,"Despite reporting financial results, the post does not explicitly address shareholders, investor relations, or shareholder rights.",Yes,"The post connects financial performance and future outlook with a continued focus on sustainability, explicitly mentioning the LOOP programme, SBTi commitment, and the annual report, indicating integration of sustainability into corporate strategy and reporting."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post summarizes sustainability highlights but does not mention materials efficiency, water use, energy efficiency, or supply chain resource management; it only specifies emissions and social initiatives.",Yes,"It explicitly states a 61.8% reduction in absolute Scope 3 emissions versus a 2021 baseline, which is directly about reducing environmental emissions in operations and value chain.",No,"There is no explicit mention of new environmental technologies, eco-designed products, or environmentally focused innovation for customers.",Yes,"The post highlights increased employee volunteerism and references a framework that includes people and communities, reflecting workforce engagement and social involvement, even though it does not detail safety or compensation.",Yes,"The post mentions increasing the Women’s Empowerment Principles Assessment Score, which directly relates to gender equality and respect for fundamental human rights conventions around non-discrimination and equal opportunity.",Yes,"It reports a 58% surge in employee volunteerism and emphasizes dedication to community engagement, showing explicit commitment to being a good corporate citizen and supporting communities.",No,"There is no mention of product quality, customer health and safety, or data privacy in relation to Fossil Group’s products or services.",No,"Although ESG is mentioned generally, there is no explicit discussion of corporate governance structures, board practices, or governance codes beyond a high-level “framework” reference.",No,"The post does not discuss shareholder rights, equal treatment of shareholders, or anti-takeover mechanisms.",Yes,"The post announces a Corporate Sustainability Highlights Report and explicitly references “Make Time for Good,” described as a framework for managing environmental, social, and governance initiatives that guides the company as a purpose-driven business—clear evidence of an articulated CSR strategy and reporting."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post discusses an educational collaboration and a guest lecture on fashion and luxury; it does not mention materials, energy, water use, or eco-efficient supply chain management.",No,"There is no reference to greenhouse gas emissions, carbon footprint, pollution, or emission-reduction initiatives.",No,"While the post mentions shaping the future of fashion and luxury, it does not explicitly refer to environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"The content focuses on students and an academic partnership, not on the company’s own employees or practices related to workplace safety, satisfaction, compensation, diversity, or development opportunities.",No,"There is no mention of human rights policies, labor standards, or respect for fundamental human rights conventions.",No,"The collaboration is framed as educational and strategic, without explicit reference to philanthropy, public health, community welfare, or business ethics initiatives.",No,"Although fashion and luxury are mentioned, the post does not address product quality, customer health and safety, or data privacy.",No,"The post does not discuss corporate governance practices, board structure, management incentives, or governance policies.",No,"There is no reference to shareholder rights, treatment of investors, or anti-takeover mechanisms.",No,"The partnership is presented as educational and industry-focused, not as part of an articulated CSR or sustainability strategy integrating environmental, social, and financial dimensions."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post discusses the aesthetic design and atmosphere of a showroom chair and its upholstery but does not mention materials efficiency, energy or water use, or supply chain resource management.",No,"There is no reference to emissions, carbon footprint, pollution, or any efforts to reduce environmental emissions in production or operations.",No,"Although design characteristics are described, there is no explicit mention of environmental technologies, eco-design for reduced environmental impact, or other environmental innovation.",No,"The content does not mention employees, workplace conditions, safety, compensation, diversity, or training and development.",No,"There is no mention of human rights topics, labor standards, or related policies or practices.",No,"The reference to the Warsaw district is purely about visual and architectural context, not about community engagement, philanthropy, public health, or ethical local impact.",No,"The post focuses on visual and stylistic aspects of the chair and fabric, without discussing product safety, quality assurance, consumer health, or data privacy.",No,"There is no information related to governance structures, leadership decisions, or management practices.",No,"The post does not address shareholders, investor relations, or capital/ownership issues.",No,"This is a design and marketing-oriented showroom promotion and does not reference ESG strategy, sustainability reporting, or integration of environmental and social issues into corporate decision-making."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post does not mention materials, energy, water consumption, or eco-efficient supply chain management.",No,"There is no reference to pollution, greenhouse gas emissions, or emission reduction efforts.",No,"The content focuses on workplace mental health and burnout, not on environmental technologies, eco-design, or environmentally oriented innovation.",Yes,"The post explicitly discusses workplace burnout, its impact on employees, the importance of recognizing signs, taking proactive steps to protect oneself, and companies creating systems that encourage balance and care, which are core aspects of workforce well-being and job satisfaction.",No,"Although it addresses employee well-being, it does not reference fundamental human rights conventions, labor rights frameworks, or human rights policies.",No,"The focus is on internal employees and company culture, not on external community engagement, public health initiatives beyond the workplace, or localized social impact.",No,"There is no mention of product quality, consumer safety, or data privacy.",No,"The post does not discuss corporate governance structures, leadership decisions, or executive policies; it only generally notes that companies can create systems that encourage balance and care, without governance detail.",No,"There is no reference to shareholders, investor relations, or capital structure.",No,"The post does not describe any overarching CSR strategy, reporting, or integration of ESG factors into corporate decision-making; it is an awareness message about burnout."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post does not mention materials efficiency, energy or water use, or eco-efficient supply chain practices; it focuses on design, fashion, and a pop-up experience.",No,"There is no reference to emissions, carbon footprint, waste, or pollution related to operations or the pop-up.",No,"Although the hashtags and wording mention 'jewellery innovation' and a new concept (Charme Trunk), there is no explicit link to reducing environmental costs, eco-design, or environmental technologies—innovation is purely creative/experiential here.",No,"The post does not discuss employees, working conditions, safety, compensation, diversity, or development opportunities.",No,"There is no mention of human rights issues, labor rights, or related policies or practices.",No,"While it references cultural relevance and a local, Chengdu-based experience, it does not describe community investment, philanthropy, public health, or business ethics initiatives.",No,"The content talks about jewellery, styling, and craftsmanship but does not mention product safety, quality standards, customer health and safety, or data privacy.",No,"There is no discussion of corporate governance, board practices, leadership structures, or governance policies.",No,"The post does not mention shareholders, investor rights, or capital structure issues.",No,"The message promotes a marketing collaboration and experiential retail concept; it does not communicate integration of environmental, social, and financial considerations into corporate strategy or CSR reporting."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post does not mention materials efficiency, energy or water use, or any eco-efficient resource or supply chain practices.",No,"There is no reference to emissions, carbon footprint, pollution, or emission reduction initiatives.",No,"While it mentions 'innovative printing capabilities,' this is not explicitly tied to environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"The text refers to 'our teams' in the context of exhibiting and networking, but does not address working conditions, safety, compensation, diversity, or development opportunities.",No,"There is no mention of human rights policies, labor rights, or adherence to human rights conventions.",No,"The post focuses on an industry expo and business relationships, without reference to community engagement, philanthropy, public health, or business ethics initiatives.",No,"Although product quality and range are mentioned, there is no explicit discussion of customer health and safety, product safety standards, or data privacy.",No,"The content does not address corporate governance structures, board practices, or governance policies.",No,"There is no mention of shareholders, investor rights, or capital structure matters.",No,"The post is a marketing recap of participation in an industry expo and does not communicate integration of financial, social, and environmental dimensions into corporate strategy or CSR reporting."
