Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,Yes,No,No,"The post does not mention materials, energy, water usage, or eco-efficient supply chain management.",No,"There is no reference to emissions, carbon footprint, or environmental pollution related to operations.",No,The content centers on leadership appointment and strategic goals without addressing environmental technologies or eco-designed products.,No,"The post does not discuss employee well-being, safety, compensation, diversity, or development opportunities.",No,"There is no mention of human rights policies, supplier auditing, or related initiatives.",No,"No community engagement, public health, philanthropy, or local societal impact is described.",No,"There is no discussion of product quality, safety, customer data privacy, or related responsibilities.",Yes,"The post announces the appointment of a Chief Supply Chain Officer and references leadership and strategic direction, which falls under governance and executive leadership.",No,"There is no explicit mention of shareholder rights, investor relations, or anti-takeover devices.",No,"The post does not describe integrated CSR governance or how environmental, social, and governance topics are embedded into day-to-day decisions."
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"The post discusses Hermes' corporate vision and collaboration between engineers, as well as recruitment opportunities, but does not mention materials, energy, water use, or eco-efficient resource management.",No,"There is no reference to emissions, pollution, or any carbon reduction efforts.",No,"The post mentions innovation in a general sense but does not cite environmental technologies, green processes, or eco-designed products.",Yes,"The post notes a recruitment session and internship/work-study opportunities, indicating development opportunities for young professionals and students.",No,"There is no mention of human rights conventions, policies, or related supplier auditing.",No,"The content focuses on internal engineering collaboration and recruitment at a university, not on community health, local impact, or philanthropy.",Yes,References to production and quality control imply a focus on product quality and integrity.,No,"There is no explicit discussion of governance structures, board oversight, or executive leadership.",No,"No mention of shareholder rights, investor relations, or anti-takeover mechanisms.",No,The post is an internal talent and collaboration piece rather than a communication of an integrated CSR strategy.
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post describes turning fabric waste into tote bags and tablecloths, indicating reuse of materials and a focus on reducing waste, which aligns with resource use and eco-efficient practices.",No,"There is no mention of emissions, pollution, or carbon reduction initiatives in the post.",No,"While the initiative involves recycling fabric waste, there is no explicit reference to environmental technologies, green processes, or eco-designed products as an innovative change.",No,"The post discusses training for community members (women from low-income families) rather than internal employees or workplace-related topics like safety, pay, or development opportunities within Coats.",No,"There is no mention of human rights conventions, supplier auditing, or human rights policies; the content focuses on community empowerment rather than rights frameworks.",Yes,"The initiative targets local women in Bogor, Indonesia, through a partnership with an NGO, aiming to create income and promote sustainability—clear evidence of corporate community impact.",No,"There is no discussion of product safety, quality standards, or customer data/privacy related to Coats' products in this post.",No,"The post does not address governance structures, board oversight, or executive leadership topics.",No,"There is no reference to investor relations, shareholder rights, or anti-takeover measures.",Yes,"The post frames the activity as part of Coats Cares and highlights community empowerment and sustainability, reflecting the organization's CSR strategy and branding."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post references sustainability and the LOOP programme but does not provide explicit evidence of resource consumption, materials, energy, or water reduction.",Yes,"The post mentions commitment to the Science Based Targets initiative (SBTi), which indicates a plan to reduce greenhouse gas emissions.",No,"No explicit mention of environmental technologies, eco-designed products, or green processes.",No,"No evidence regarding employees, safety, compensation, diversity, or training.",No,"No mention of human rights conventions, supplier auditing, or labor-right policies.",No,No explicit community programs or philanthropy described.,No,"No discussion of product quality, safety, or customer privacy.",No,No governance details or executive leadership information provided beyond a CEO reference.,No,"No explicit mention of shareholder rights, investor relations, or anti-takeover devices.",Yes,"The post is a sustainability-focused annual report snippet that mentions LOOP and SBTi, indicating integration of environmental and social topics into strategy and reporting."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post mentions the planet, communities, and a sustainability framework but does not provide explicit evidence of resource use topics such as materials, energy, or water consumption, or eco-efficient supply chain management.",Yes,"Explicitly states a 61.8% reduction in absolute emissions of Scope 3 against the 2021 baseline, providing clear emissions-related evidence.",No,"No explicit reference to environmental technologies, green processes, or eco-designed products are mentioned beyond general ESG reporting frameworks.",Yes,"Mentions increased employee volunteerism and a higher Women’s Empowerment Principles Assessment Score, indicating internal workforce engagement and diversity-related progress.",No,"No explicit references to fundamental human rights conventions, corporate human rights policies, or supplier auditing are provided.",Yes,"Highlights community engagement through increased employee volunteering, indicating corporate citizenship and local social impact.",No,"No discussion of product quality, safety, or customer data/privacy is present.",No,"No explicit discussion of governance principles, board structure, or executive compensation is provided.",No,"No direct mention of shareholder reporting, investor relations, or anti-takeover policies is included.",Yes,"References the 2024 Corporate Sustainability Highlights Report and the Make Time for Good framework, signaling integrated CSR communications and decision-making."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post does not mention materials, energy, water usage, or eco-efficient supply chain management.",No,"There is no reference to emissions, carbon footprint, or environmental pollution.",No,"The content does not discuss environmental technologies, green processes, or eco-designed products.",No,"There is no information about employees, workplace safety, diversity, or training opportunities.",No,"The post does not mention human rights conventions, supplier audits, or labor rights considerations.",No,"There is no description of community engagement, philanthropy, or local social impact.",No,"There is no discussion of product quality, safety, or customer data/privacy concerns.",No,"The post does not address governance principles, leadership structure, or board-level topics.",No,"There is no mention of investor relations, shareholder rights, or anti-takeover considerations.",No,"The post does not communicate how governance, social, and environmental topics are integrated into decision-making or reporting."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"The post describes the Egg Chair showroom design and upholstery but does not mention materials usage, energy, water, or resource efficiency.",No,"There is no discussion of emissions, carbon footprint, or environmental pollutants.",No,"No explicit reference to environmental technologies, eco-design, or innovations aimed at reducing environmental costs.",No,"No discussion of employees, workplace safety, training, or internal workforce topics.",No,"No mention of human rights conventions, supplier auditing, or rights policies.",No,"No mention of community programs, local social impact, or philanthropy.",No,"The post mentions a chair product but does not address product quality, safety data, or customer privacy.",No,"No discussion of governance principles, leadership, or board structures.",No,No mention of investor relations or shareholder value.,No,No explicit discussion of integrating ESG topics into day-to-day decision-making or reporting.
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,Yes,No,No,"The post does not discuss materials, energy, water usage, or eco-efficient supply chain management.",No,"There is no mention of environmental emissions, pollution, or reduction targets.",No,The content centers on burnout awareness and workplace well-being rather than environmental technologies or eco-designed products.,Yes,"The post focuses on burnout among employees, signs of burnout, its impact on performance, and the need for proactive steps to protect employees and foster a healthier workplace culture.",No,There is no reference to fundamental human rights conventions or supplier human rights policies.,No,"The post discusses internal workplace well-being rather than community health, local social impact, or philanthropy.",No,"There is no discussion of product quality, safety, or customer data privacy.",No,"The post does not address corporate governance, board structure, or executive compensation.",No,"There is no mention of shareholder rights, investor relations, or anti-takeover measures.",Yes,"The post frames burnout as an organizational concern and proposes that companies create systemic supports to balance work and care, indicating integration of social dimensions into day-to-day decision-making and broader CSR thinking."
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,No,No,No,Yes,No,"The post does not discuss materials, energy, water usage, resource efficiency, or supply chain resource management.",No,"There is no mention of emissions, carbon footprint, or environmental pollution reduction.",No,"While the post mentions 'innovation' in a general sense, it does not refer to environmental technologies, green processes, or eco-designed products.",No,"There is no information about employees, safety, compensation, training, or workplace diversity.",No,"The post does not reference human rights conventions, supplier auditing, or labor rights issues.",No,"There is no explicit corporate citizenship, public health protections, or localized social impact described.",No,"No information on product safety, quality standards, or customer data privacy is provided.",No,"The post does not discuss governance structures, executive leadership, or board practices.",No,"There is no mention of shareholders, investor relations, or anti-takeover considerations.",No,The content is a product collaboration and event promotion without a stated integration of ESG dimensions into corporate strategy.
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,Yes,No,No,No,"The post does not discuss energy, water, or material usage, eco-efficient supply chains, or resource reduction initiatives.",No,"There is no mention of emissions, carbon footprint, or related reduction initiatives.",No,"The post mentions 'innovative printing capabilities' but does not tie this to environmental technologies, green processes, or eco-designed products.",No,"No discussion of employees’ job satisfaction, safety, diversity, or development opportunities.",No,"No reference to human rights conventions, supplier auditing, or rights-related policies.",No,"No explicit information on community impact, philanthropy, or local social initiatives.",Yes,"The post emphasizes product quality and the ability for distributors to experience quality firsthand, indicating focus on product integrity for customers.",No,"No discussion of governance structures, executive leadership, or board-level topics.",No,"No mention of investor relations, shareholder rights, or anti-takeover discussions.",No,"The post is a trade-show update focused on products and relationships, not a disclosure of integrated CSR strategy or governance."
